,DateTime,Label,Centroid_lon,Centroid_lat,Centroid_lon_ind,Centroid_lat_ind,Max_SCP_anorm_lon,Max_SCP_anorm_lat,Pixels,geometry,SCP_max,SCP_75q,SCP_median,SCP_25q,SCP_min,SCP_mean,SCP_array,SCP_anorm_max,SCP_anorm_75q,SCP_anorm_median,SCP_anorm_25q,SCP_anorm_min,SCP_anorm_mean,CAPE_max,CAPE_min,CAPE_mean,In_CONUS,East_of_Rocky
0,2045-01-02 12:00:00,2,-95.21139705882354,32.09402869314845,24.294117647058822,11.411764705882351,-94.21875,32.918007160613975,17,"MULTIPOINT (-98.4375 28.715715699055192, -98.4375 30.116479933546326, -97.03125 30.116479933546326, -97.03125 31.517243765922586, -97.03125 32.918007160613975, -95.625 30.116479933546326, -95.625 31.517243765922586, -95.625 32.918007160613975, -95.625 34.31877007877067, -94.21875 30.116479933546326, -94.21875 31.517243765922586, -94.21875 32.918007160613975, -94.21875 34.31877007877067, -92.8125 31.517243765922586, -92.8125 32.918007160613975, -92.8125 34.31877007877067, -92.8125 35.719532477823975)",4.9431925,4.267181873321533,3.4536686,2.117853879928589,1.4166434,3.2563927,"[1.531836748123169, 1.4572089910507202, 3.291916847229004, 3.413604974746704, 3.4536685943603516, 2.117853879928589, 3.497007131576538, 3.6509616374969482, 4.434122562408447, 1.4570962190628052, 4.045691967010498, 4.775111675262451, 4.844205856323242, 2.7613730430603027, 4.943192481994629, 4.267181873321533, 1.4166433811187744]",4.850245703011751,4.1741455644369125,3.0905081778764725,2.0181177631020546,1.3179706186056137,3.100465232396827,2102.6616,187.25987,1247.515,True,True
1,2045-01-03 12:00:00,3,-95.50091911764709,31.59964161266914,24.08823529411765,11.058823529411764,-92.8125,31.517243765922583,34,"MULTIPOINT (-101.25 27.314951095120396, -99.84375 25.914186151846668, -99.84375 27.314951095120396, -99.84375 28.715715699055192, -99.84375 30.116479933546326, -99.84375 31.517243765922586, -99.84375 32.918007160613975, -98.4375 27.314951095120396, -98.4375 28.715715699055192, -98.4375 30.116479933546326, -98.4375 31.517243765922586, -98.4375 32.918007160613975, -97.03125 28.715715699055192, -97.03125 30.116479933546326, -97.03125 31.517243765922586, -95.625 30.116479933546326, -95.625 31.517243765922586, -95.625 32.918007160613975, -94.21875 30.116479933546326, -94.21875 31.517243765922586, -94.21875 32.918007160613975, -94.21875 34.31877007877067, -92.8125 30.116479933546326, -92.8125 31.517243765922586, -92.8125 32.918007160613975, -92.8125 34.31877007877067, -92.8125 35.719532477823975, -91.40625 31.517243765922586, -91.40625 32.918007160613975, -91.40625 34.31877007877067, -91.40625 35.719532477823975, -90 34.31877007877067, -90 35.719532477823975, -90 37.12029431097885)",6.2673063,4.756562829017639,3.7439282,2.7083107233047485,1.0285342,3.7316077,"[1.9888402223587036, 1.478636384010315, 3.4910831451416016, 2.1678450107574463, 5.2580108642578125, 3.336660385131836, 3.175013303756714, 5.2301411628723145, 3.5746614933013916, 4.652132987976074, 4.193173885345459, 4.5458269119262695, 3.9143073558807373, 5.476195335388184, 5.010317802429199, 4.7832350730896, 3.9734275341033936, 6.17956018447876, 6.267306327819824, 4.963372707366943, 4.629374980926514, 3.688530206680298, 3.799326181411743, 5.297735691070557, 4.676546096801758, 3.142052173614502, 2.769381046295166, 3.1847405433654785, 2.6879539489746094, 1.938889741897583, 2.48760986328125, 2.3837873935699463, 1.50045907497406, 1.028534173965454]",6.11745498329401,4.655878811143339,3.524659113958478,2.6106854313984518,0.9490166008472444,3.531611557063811,2274.958,717.0079,1749.2661,True,True
2,2045-01-04 12:00:00,3,-93.86055424528304,35.9838271633249,25.25471698113208,14.18867924528302,-91.40625,38.52105552662436,106,"MULTIPOINT (-101.25 30.116479933546326, -99.84375 28.715715699055192, -99.84375 30.116479933546326, -99.84375 31.517243765922586, -99.84375 32.918007160613975, -99.84375 34.31877007877067, -99.84375 35.719532477823975, -99.84375 37.12029431097885, -99.84375 38.52105552662436, -99.84375 39.92181606764648, -98.4375 24.513420897062915, -98.4375 25.914186151846668, -98.4375 27.314951095120396, -98.4375 28.715715699055192, -98.4375 30.116479933546326, -98.4375 31.517243765922586, -98.4375 32.918007160613975, -98.4375 34.31877007877067, -98.4375 35.719532477823975, -98.4375 37.12029431097885, -98.4375 38.52105552662436, -98.4375 39.92181606764648, -98.4375 41.322575870623126, -97.03125 25.914186151846668, -97.03125 27.314951095120396, -97.03125 28.715715699055192, -97.03125 30.116479933546326, -97.03125 31.517243765922586, -97.03125 32.918007160613975, -97.03125 34.31877007877067, -97.03125 35.719532477823975, -97.03125 37.12029431097885, -97.03125 38.52105552662436, -97.03125 39.92181606764648, -97.03125 41.322575870623126, -97.03125 42.723334864876975, -95.625 28.715715699055192, -95.625 30.116479933546326, -95.625 31.517243765922586, -95.625 32.918007160613975, -95.625 34.31877007877067, -95.625 35.719532477823975, -95.625 37.12029431097885, -95.625 38.52105552662436, -95.625 39.92181606764648, -95.625 41.322575870623126, -95.625 42.723334864876975, -94.21875 30.116479933546326, -94.21875 31.517243765922586, -94.21875 32.918007160613975, -94.21875 34.31877007877067, -94.21875 35.719532477823975, -94.21875 37.12029431097885, -94.21875 38.52105552662436, -94.21875 39.92181606764648, -94.21875 41.322575870623126, -94.21875 42.723334864876975, -94.21875 44.12409297135585, -92.8125 30.116479933546326, -92.8125 31.517243765922586, -92.8125 32.918007160613975, -92.8125 34.31877007877067, -92.8125 35.719532477823975, -92.8125 37.12029431097885, -92.8125 38.52105552662436, -92.8125 39.92181606764648, -92.8125 41.322575870623126, -92.8125 42.723334864876975, -92.8125 44.12409297135585, -91.40625 30.116479933546326, -91.40625 31.517243765922586, -91.40625 32.918007160613975, -91.40625 34.31877007877067, -91.40625 35.719532477823975, -91.40625 37.12029431097885, -91.40625 38.52105552662436, -91.40625 39.92181606764648, -91.40625 41.322575870623126, -91.40625 42.723334864876975, -91.40625 44.12409297135585, -90 31.517243765922586, -90 32.918007160613975, -90 34.31877007877067, -90 35.719532477823975, -90 37.12029431097885, -90 38.52105552662436, -90 39.92181606764648, -90 41.322575870623126, -90 42.723334864876975, -90 44.12409297135585, -88.59375 35.719532477823975, -88.59375 37.12029431097885, -88.59375 38.52105552662436, -88.59375 39.92181606764648, -88.59375 41.322575870623126, -88.59375 42.723334864876975, -87.1875 34.31877007877067, -87.1875 35.719532477823975, -87.1875 37.12029431097885, -87.1875 38.52105552662436, -87.1875 39.92181606764648, -85.78125 35.719532477823975, -85.78125 37.12029431097885, -85.78125 38.52105552662436, -84.375 35.719532477823975, -84.375 37.12029431097885)",10.3455515,7.1046048402786255,4.7613845,1.9409666657447813,0.0,4.5845013,"[2.292445182800293, 2.0592823028564453, 3.0538742542266846, 2.726024866104126, 4.055278301239014, 3.232830762863159, 5.40466833114624, 5.118926048278809, 4.500086784362793, 0.6304499506950378, 3.7906899452209473, 6.418230056762695, 7.1220502853393555, 6.2046122550964355, 7.380279064178467, 5.849725246429443, 4.860610485076904, 2.706427574157715, 6.134151935577393, 8.096713066101074, 7.139880657196045, 9.040996551513672, 7.544866561889648, 5.547828197479248, 3.769484043121338, 6.115516662597656, 4.378482341766357, 8.769861221313477, 8.146108627319336, 9.657745361328125, 8.679673194885254, 4.755354881286621, 2.4372782707214355, 5.456382751464844, 5.476734161376953, 7.794374465942383, 8.669240951538086, 9.566102981567383, 8.053808212280273, 3.9954545497894287, 2.2504403591156006, 1.5050421953201294, 2.781813144683838, 4.767414093017578, 6.81306266784668, 7.672338962554932, 8.14958667755127, 8.452776908874512, 6.483997344970703, 2.746272087097168, 1.7004674673080444, 1.6100372076034546, 1.7720091342926025, 1.526641845703125, 0.6528210043907166, 4.142808437347412, 6.521300315856934, 6.784793376922607, 8.094444274902344, 8.095221519470215, 9.965012550354004, 5.305107116699219, 2.343583345413208, 1.9015281200408936, 1.642456293106079, 1.0646026134490967, 0.5288801789283752, 3.6161093711853027, 4.797460556030273, 7.0522685050964355, 7.64152717590332, 8.126505851745605, 10.345551490783691, 6.257648468017578, 2.283790111541748, 1.29002845287323, 0.7645671367645264, 0.3377359211444855, 2.6908743381500244, 3.0915629863739014, 5.418349742889404, 8.448670387268066, 8.0868558883667, 7.013882160186768, 5.153045177459717, 1.4647444486618042, 0.6409520506858826, 1.0134658813476562, 1.646490216255188, 2.6056058406829834, 8.182815551757812, 8.58242416381836, 4.264011859893799, 4.8210625648498535, 0.9905059337615967, 0.05630910396575928, 0.8776581883430481, 4.027775287628174, 5.9269819259643555, 1.4143339395523071, 4.8471174240112305, 0.001142178662121296, 0.1717076450586319, 0.007298268377780914, 0.09127496927976608, 0.0]",10.312776375561953,6.977671856060624,4.468126244843006,1.68786112498492,0.0,4.453037198752116,3255.7744,32.507965,1672.3936,True,True
3,2045-01-05 12:00:00,7,-90.88299418604652,30.686558237420385,27.37209302325581,10.406976744186046,-87.1875,30.116479933546326,86,"MULTIPOINT (-98.4375 30.116479933546326, -97.03125 24.513420897062915, -97.03125 28.715715699055192, -97.03125 30.116479933546326, -97.03125 31.517243765922586, -97.03125 32.918007160613975, -95.625 23.112655356577648, -95.625 24.513420897062915, -95.625 30.116479933546326, -95.625 31.517243765922586, -95.625 34.31877007877067, -94.21875 21.711889554404237, -94.21875 23.112655356577648, -94.21875 24.513420897062915, -94.21875 25.914186151846668, -94.21875 30.116479933546326, -94.21875 31.517243765922586, -94.21875 32.918007160613975, -94.21875 34.31877007877067, -94.21875 35.719532477823975, -94.21875 37.12029431097885, -92.8125 21.711889554404237, -92.8125 23.112655356577648, -92.8125 24.513420897062915, -92.8125 25.914186151846668, -92.8125 27.314951095120396, -92.8125 30.116479933546326, -92.8125 31.517243765922586, -92.8125 32.918007160613975, -92.8125 34.31877007877067, -92.8125 35.719532477823975, -92.8125 37.12029431097885, -91.40625 23.112655356577648, -91.40625 24.513420897062915, -91.40625 25.914186151846668, -91.40625 27.314951095120396, -91.40625 28.715715699055192, -91.40625 30.116479933546326, -91.40625 31.517243765922586, -91.40625 32.918007160613975, -91.40625 34.31877007877067, -91.40625 35.719532477823975, -91.40625 37.12029431097885, -90 24.513420897062915, -90 25.914186151846668, -90 27.314951095120396, -90 28.715715699055192, -90 30.116479933546326, -90 31.517243765922586, -90 32.918007160613975, -90 34.31877007877067, -90 35.719532477823975, -90 37.12029431097885, -90 38.52105552662436, -88.59375 23.112655356577648, -88.59375 24.513420897062915, -88.59375 25.914186151846668, -88.59375 27.314951095120396, -88.59375 28.715715699055192, -88.59375 30.116479933546326, -88.59375 31.517243765922586, -88.59375 32.918007160613975, -88.59375 34.31877007877067, -88.59375 35.719532477823975, -88.59375 37.12029431097885, -88.59375 38.52105552662436, -88.59375 39.92181606764648, -87.1875 24.513420897062915, -87.1875 25.914186151846668, -87.1875 27.314951095120396, -87.1875 28.715715699055192, -87.1875 30.116479933546326, -87.1875 31.517243765922586, -87.1875 32.918007160613975, -87.1875 34.31877007877067, -87.1875 35.719532477823975, -87.1875 37.12029431097885, -87.1875 38.52105552662436, -85.78125 27.314951095120396, -85.78125 28.715715699055192, -85.78125 30.116479933546326, -85.78125 31.517243765922586, -85.78125 37.12029431097885, -85.78125 38.52105552662436, -85.78125 39.92181606764648, -84.375 28.715715699055192)",14.825357,8.959050416946411,6.1838865,3.911058008670807,0.66701186,6.3674545,"[5.563024997711182, 5.798280239105225, 6.755587577819824, 8.342507362365723, 8.989936828613281, 6.767383575439453, 6.188679218292236, 4.855700492858887, 6.205880165100098, 7.52328634262085, 9.143279075622559, 10.895770072937012, 13.462950706481934, 13.154114723205566, 9.661523818969727, 6.471889019012451, 8.8663911819458, 10.125008583068848, 12.350069046020508, 11.965322494506836, 9.802318572998047, 5.992395401000977, 7.735914707183838, 8.64957046508789, 8.034259796142578, 7.004042625427246, 5.92011022567749, 3.1197776794433594, 6.642567157745361, 7.283615589141846, 11.819680213928223, 11.334188461303711, 9.552053451538086, 6.096319198608398, 1.3879672288894653, 4.279697418212891, 4.722121238708496, 6.330487251281738, 7.66208028793335, 9.162298202514648, 9.197624206542969, 11.832716941833496, 14.319611549377441, 14.825357437133789, 2.055457830429077, 2.7936112880706787, 5.2711501121521, 6.048166751861572, 7.177882671356201, 7.627655506134033, 10.141057014465332, 11.12337589263916, 3.7991697788238525, 1.2948167324066162, 3.455897808074951, 5.6927971839904785, 4.298614978790283, 4.533894062042236, 9.535250663757324, 9.669615745544434, 1.561470866203308, 4.24672269821167, 5.946213722229004, 6.753448486328125, 4.579526424407959, 5.169444561004639, 1.4256294965744019, 1.712273359298706, 4.734654426574707, 7.100175380706787, 6.475573539733887, 2.5376193523406982, 1.4817041158676147, 1.3842062950134277, 0.7150242328643799, 3.736192226409912, 6.179093837738037, 4.73577880859375, 2.793973684310913, 0.8143115639686584, 2.376812696456909, 4.708523273468018, 1.9069205522537231, 1.3878194093704224, 2.159248113632202, 0.6670118570327759]",13.223768830299376,7.020791343413293,4.888482689857483,3.4482078701257706,0.6399473752826452,5.329412668499402,4380.597,296.8999,2572.1936,True,True
4,2045-01-06 12:00:00,10,-82.6171875,30.416643611912665,33.25,10.214285714285714,-78.75,31.517243765922583,28,"MULTIPOINT (-85.78125 25.914186151846668, -85.78125 27.314951095120396, -85.78125 28.715715699055192, -85.78125 30.116479933546326, -85.78125 31.517243765922586, -84.375 25.914186151846668, -84.375 27.314951095120396, -84.375 28.715715699055192, -84.375 30.116479933546326, -84.375 31.517243765922586, -84.375 32.918007160613975, -82.96875 25.914186151846668, -82.96875 27.314951095120396, -82.96875 28.715715699055192, -82.96875 30.116479933546326, -82.96875 31.517243765922586, -81.5625 28.715715699055192, -81.5625 30.116479933546326, -81.5625 31.517243765922586, -81.5625 32.918007160613975, -80.15625 30.116479933546326, -80.15625 31.517243765922586, -80.15625 32.918007160613975, -80.15625 34.31877007877067, -80.15625 35.719532477823975, -78.75 31.517243765922586, -78.75 32.918007160613975, -78.75 35.719532477823975)",19.799652,8.960726737976074,6.390034,3.607149541378021,2.0408177,6.738238,"[9.184138298034668, 8.956724166870117, 6.595743656158447, 9.286006927490234, 10.315550804138184, 8.080507278442383, 6.3711724281311035, 7.845317363739014, 8.972734451293945, 5.448212623596191, 6.408895969390869, 5.251575469970703, 7.291520595550537, 5.963037490844727, 6.8067946434021, 3.6661946773529053, 2.9128780364990234, 3.430014133453369, 4.988637924194336, 10.654271125793457, 19.799652099609375, 2.197038173675537, 2.2148914337158203, 5.908581733703613, 12.30132007598877, 3.123326301574707, 2.6551156044006348, 2.0408177375793457]",17.522929906845093,6.922450989484787,4.787900388240814,3.271974679082632,1.8766022026538849,5.564719345686691,3785.3772,889.24384,2411.3608,True,True
5,2045-01-30 12:00:00,4,-93.06066176470586,35.47233911328516,25.823529411764707,13.823529411764708,-90.0,34.31877007877067,17,"MULTIPOINT (-95.625 32.918007160613975, -95.625 34.31877007877067, -95.625 35.719532477823975, -94.21875 31.517243765922586, -94.21875 32.918007160613975, -94.21875 34.31877007877067, -94.21875 35.719532477823975, -94.21875 37.12029431097885, -92.8125 34.31877007877067, -92.8125 35.719532477823975, -92.8125 37.12029431097885, -92.8125 38.52105552662436, -91.40625 37.12029431097885, -91.40625 38.52105552662436, -90 34.31877007877067, -90 35.719532477823975, -90 37.12029431097885)",2.643394,2.232079267501831,1.8183372,1.2874526977539062,0.7938545,1.7842416,"[2.3584885597229004, 1.568061113357544, 2.443190336227417, 1.8183372020721436, 2.1259446144104004, 2.1049723625183105, 2.6433939933776855, 1.0599281787872314, 2.5845420360565186, 2.232079267501831, 2.193308115005493, 1.1130998134613037, 1.7442848682403564, 1.3682249784469604, 1.2874526977539062, 0.7938544750213623, 0.8929450511932373]",2.537247810512781,2.1605567261576653,1.7346071675419807,1.2257700003683567,0.7622303292155266,1.71196063903763,1028.8047,593.56067,820.35986,True,True
6,2045-01-31 12:00:00,3,-82.78125,36.1864530888756,33.13333333333333,14.333333333333334,-80.15625,35.719532477823975,30,"MULTIPOINT (-87.1875 32.918007160613975, -87.1875 34.31877007877067, -87.1875 35.719532477823975, -87.1875 37.12029431097885, -85.78125 34.31877007877067, -85.78125 35.719532477823975, -85.78125 37.12029431097885, -84.375 34.31877007877067, -84.375 35.719532477823975, -84.375 37.12029431097885, -82.96875 34.31877007877067, -82.96875 35.719532477823975, -82.96875 37.12029431097885, -82.96875 38.52105552662436, -82.96875 39.92181606764648, -82.96875 41.322575870623126, -81.5625 32.918007160613975, -81.5625 34.31877007877067, -81.5625 35.719532477823975, -81.5625 37.12029431097885, -81.5625 38.52105552662436, -81.5625 39.92181606764648, -80.15625 32.918007160613975, -80.15625 34.31877007877067, -80.15625 35.719532477823975, -80.15625 37.12029431097885, -80.15625 38.52105552662436, -78.75 34.31877007877067, -78.75 35.719532477823975, -78.75 37.12029431097885)",4.139466,3.257823348045349,2.1361604,1.4268183708190918,0.6232624,2.2573762,"[3.2721755504608154, 3.5589873790740967, 4.139465808868408, 3.4839813709259033, 2.8221192359924316, 1.5547996759414673, 1.5918651819229126, 3.174481153488159, 3.693922758102417, 3.9827277660369873, 2.5293707847595215, 2.249086380004883, 1.4650022983551025, 1.6795685291290283, 3.21476674079895, 3.916783094406128, 1.584373116493225, 0.9772624373435974, 0.885652482509613, 0.9378576874732971, 2.149296522140503, 3.325270175933838, 3.046363115310669, 1.4899829626083374, 1.4140903949737549, 2.1230242252349854, 0.973782479763031, 0.6232624053955078, 1.1656229496002197, 0.6963382959365845]",3.7795043885707855,3.0854724161326885,2.0356220453977585,1.3278104029595852,0.5813055075705051,2.107645052795609,1496.2068,237.07547,707.05756,True,True
7,2045-02-08 12:00:00,4,-96.02163461538464,31.517243765922583,23.71794871794872,11.0,-95.625,31.517243765922583,39,"MULTIPOINT (-99.84375 30.116479933546326, -98.4375 21.711889554404237, -98.4375 23.112655356577648, -98.4375 24.513420897062915, -98.4375 25.914186151846668, -98.4375 27.314951095120396, -98.4375 28.715715699055192, -98.4375 30.116479933546326, -98.4375 31.517243765922586, -98.4375 32.918007160613975, -98.4375 34.31877007877067, -98.4375 35.719532477823975, -97.03125 28.715715699055192, -97.03125 30.116479933546326, -97.03125 31.517243765922586, -97.03125 32.918007160613975, -97.03125 34.31877007877067, -97.03125 35.719532477823975, -97.03125 37.12029431097885, -95.625 28.715715699055192, -95.625 30.116479933546326, -95.625 31.517243765922586, -95.625 32.918007160613975, -95.625 34.31877007877067, -95.625 35.719532477823975, -95.625 37.12029431097885, -95.625 38.52105552662436, -94.21875 30.116479933546326, -94.21875 31.517243765922586, -94.21875 32.918007160613975, -94.21875 34.31877007877067, -94.21875 35.719532477823975, -92.8125 28.715715699055192, -92.8125 30.116479933546326, -92.8125 31.517243765922586, -92.8125 32.918007160613975, -92.8125 34.31877007877067, -91.40625 30.116479933546326, -91.40625 31.517243765922586)",7.338089,5.2878334522247314,4.1266165,2.904327392578125,0.80645156,4.1322556,"[3.355398416519165, 3.545135498046875, 3.9480719566345215, 3.475342273712158, 3.5671184062957764, 5.006438255310059, 7.205455780029297, 5.676811695098877, 6.624513626098633, 1.8957018852233887, 5.3167219161987305, 5.957774639129639, 7.084028244018555, 5.13362979888916, 7.269144535064697, 5.229941368103027, 3.121288537979126, 4.265876293182373, 7.3380889892578125, 6.270158290863037, 5.795331954956055, 4.6352643966674805, 2.911294937133789, 2.897359848022461, 4.126616477966309, 5.258944988250732, 5.081537246704102, 3.2363219261169434, 2.585507392883301, 2.727315664291382, 4.700658321380615, 4.250812530517578, 1.8660461902618408, 1.8506240844726562, 1.8929084539413452, 3.1256103515625, 0.9145781397819519, 1.2081254720687866, 0.8064515590667725]",6.782802164554596,4.64186055958271,3.850445866584778,2.4478023052215576,0.7293771505355835,3.5294549283690944,2431.873,473.98663,1458.9651,True,True
8,2045-02-09 12:00:00,6,-90.61141304347824,31.39543821528117,27.565217391304348,10.91304347826087,-90.0,30.116479933546326,46,"MULTIPOINT (-95.625 35.719532477823975, -95.625 37.12029431097885, -95.625 38.52105552662436, -94.21875 35.719532477823975, -94.21875 37.12029431097885, -92.8125 27.314951095120396, -92.8125 28.715715699055192, -92.8125 30.116479933546326, -92.8125 31.517243765922586, -92.8125 37.12029431097885, -92.8125 38.52105552662436, -91.40625 23.112655356577648, -91.40625 24.513420897062915, -91.40625 25.914186151846668, -91.40625 27.314951095120396, -91.40625 28.715715699055192, -91.40625 30.116479933546326, -91.40625 31.517243765922586, -91.40625 32.918007160613975, -91.40625 34.31877007877067, -91.40625 35.719532477823975, -91.40625 37.12029431097885, -91.40625 38.52105552662436, -90 25.914186151846668, -90 27.314951095120396, -90 28.715715699055192, -90 30.116479933546326, -90 31.517243765922586, -90 32.918007160613975, -90 34.31877007877067, -90 35.719532477823975, -90 38.52105552662436, -88.59375 24.513420897062915, -88.59375 25.914186151846668, -88.59375 27.314951095120396, -88.59375 28.715715699055192, -88.59375 30.116479933546326, -88.59375 31.517243765922586, -88.59375 32.918007160613975, -88.59375 34.31877007877067, -87.1875 27.314951095120396, -87.1875 28.715715699055192, -87.1875 30.116479933546326, -87.1875 31.517243765922586, -85.78125 28.715715699055192, -85.78125 30.116479933546326)",20.220427,11.710567474365234,8.877171,3.606605529785156,0.7410016,8.2828665,"[9.917327880859375, 10.62955093383789, 9.227428436279297, 10.169147491455078, 16.26856231689453, 16.84246253967285, 10.36662769317627, 8.931632995605469, 10.443666458129883, 15.56993579864502, 6.29669189453125, 7.349462032318115, 10.440423965454102, 11.599262237548828, 14.964537620544434, 15.509512901306152, 12.922636985778809, 5.583094120025635, 11.747669219970703, 20.220426559448242, 16.829103469848633, 16.090818405151367, 11.038908004760742, 4.4080891609191895, 8.822709083557129, 13.632245063781738, 13.516185760498047, 3.74729061126709, 4.550917625427246, 5.353372097015381, 9.881763458251953, 3.5597105026245117, 3.8672425746917725, 4.026535511016846, 1.7931727170944214, 2.7669451236724854, 3.886594533920288, 2.3306632041931152, 1.585890293121338, 2.1805410385131836, 2.654608726501465, 2.2474958896636963, 0.7410016059875488, 2.519606590270996, 2.976003885269165, 1.004414677619934]",18.933640718460083,10.191732995212078,6.09929347038269,3.0478304252028465,0.6639271974563599,6.997537437502457,3640.891,106.98597,1958.4526,True,True
9,2045-02-11 12:00:00,10,-78.33984375,35.894627706968336,36.29166666666666,14.125,-78.75,37.12029431097885,24,"MULTIPOINT (-81.5625 30.116479933546326, -81.5625 31.517243765922586, -81.5625 32.918007160613975, -81.5625 34.31877007877067, -80.15625 31.517243765922586, -80.15625 32.918007160613975, -80.15625 34.31877007877067, -80.15625 35.719532477823975, -80.15625 37.12029431097885, -78.75 32.918007160613975, -78.75 34.31877007877067, -78.75 35.719532477823975, -78.75 37.12029431097885, -78.75 38.52105552662436, -77.34375 34.31877007877067, -77.34375 35.719532477823975, -77.34375 37.12029431097885, -77.34375 38.52105552662436, -75.9375 35.719532477823975, -75.9375 38.52105552662436, -75.9375 39.92181606764648, -74.53125 39.92181606764648, -74.53125 41.322575870623126, -73.125 41.322575870623126)",19.005299,9.946412563323976,6.9231563,3.262920320034027,0.05342985,7.5917454,"[5.449086666107178, 8.063698768615723, 7.052484512329102, 9.505770683288574, 16.863372802734375, 8.042318344116211, 6.0650811195373535, 16.26945686340332, 11.268338203430176, 7.050321102142334, 15.874086380004883, 14.760100364685059, 7.793961048126221, 3.617917060852051, 0.053429849445819855, 19.005298614501953, 6.79599142074585, 1.4194132089614868, 5.017019271850586, 1.2030396461486816, 1.833296298980713, 1.3686107397079468, 5.631862163543701, 2.197930097579956]",18.71267005801201,9.257654815912248,5.777510657906532,2.81768898293376,0.0,7.025923592348893,2920.8535,419.20355,1663.2211,True,True
